index,ATR_mult,ATR_num,fast_MA,slow_MA,use_fast_SMA,use_slow_SMA,total_R
216,1.0,20,43,90,1,1,-5.885
217,0.6,20,43,90,1,1,-7.931
218,1.5,20,43,90,1,1,-2.61
219,3.0,20,43,90,1,1,-3.36
220,0.6,30,9,30,1,1,22.407
221,1.0,30,9,30,1,1,25.201
222,1.5,30,9,30,1,1,17.306
223,2.0,30,9,30,1,1,13.445
224,3.0,30,9,30,1,1,8.963
225,0.6,30,18,30,1,1,8.409
226,1.0,30,18,30,1,1,13.316
227,1.5,30,18,30,1,1,6.918
228,2.0,30,18,30,1,1,6.025
229,3.0,30,18,30,1,1,2.976
230,0.6,30,28,30,1,1,26.404
231,1.0,30,28,30,1,1,11.558
232,3.0,30,28,30,1,1,3.886
233,1.5,30,28,30,1,1,10.024
234,2.0,30,28,30,1,1,6.697
235,0.6,30,9,40,1,1,-2.504
236,1.0,30,9,40,1,1,11.112
237,1.5,30,9,40,1,1,9.471
238,2.0,30,9,40,1,1,6.201
239,3.0,30,9,40,1,1,4.367
240,1.0,30,18,40,1,1,14.558
241,0.6,30,18,40,1,1,21.083
242,1.5,30,18,40,1,1,11.462
243,2.0,30,18,40,1,1,7.662
244,3.0,30,18,40,1,1,4.693
245,1.0,30,28,40,1,1,2.004
246,0.6,30,28,40,1,1,-6.174
247,1.5,30,28,40,1,1,4.23
248,2.0,30,28,40,1,1,3.355
249,3.0,30,28,40,1,1,1.648
250,0.6,30,34,40,1,1,3.246
251,1.0,30,34,40,1,1,-2.41
252,2.0,30,34,40,1,1,-0.341
253,1.5,30,34,40,1,1,0.575
254,3.0,30,34,40,1,1,2.662
255,0.6,30,9,60,1,1,-6.516
256,1.0,30,9,60,1,1,-7.232
257,1.5,30,9,60,1,1,3.975
258,2.0,30,9,60,1,1,3.322
259,3.0,30,9,60,1,1,4.248
260,0.6,30,18,60,1,1,13.998
261,1.0,30,18,60,1,1,7.633
262,1.5,30,18,60,1,1,5.623
263,2.0,30,18,60,1,1,1.005
264,3.0,30,18,60,1,1,1.695
265,0.6,30,28,60,1,1,11.977
266,1.5,30,28,60,1,1,3.299
267,1.0,30,28,60,1,1,6.011
268,2.0,30,28,60,1,1,2.204
269,3.0,30,28,60,1,1,0.97
270,0.6,30,34,60,1,1,-2.933
271,1.0,30,34,60,1,1,-4.446
272,1.5,30,34,60,1,1,-4.122
273,2.0,30,34,60,1,1,-3.681
274,3.0,30,34,60,1,1,-2.254
275,0.6,30,43,60,1,1,16.123
276,2.0,30,43,60,1,1,4.162
277,1.0,30,43,60,1,1,13.993
278,1.5,30,43,60,1,1,6.711
279,3.0,30,43,60,1,1,3.134
280,0.6,30,9,70,1,1,14.995
281,1.0,30,9,70,1,1,10.486
282,1.5,30,9,70,1,1,7.201
283,2.0,30,9,70,1,1,4.778
284,3.0,30,9,70,1,1,2.49
285,1.0,30,18,70,1,1,8.982
286,0.6,30,18,70,1,1,18.02
287,3.0,30,18,70,1,1,1.024
288,1.5,30,18,70,1,1,6.04
289,2.0,30,18,70,1,1,1.844
290,0.6,30,28,70,1,1,6.783
291,1.0,30,28,70,1,1,3.167
292,1.5,30,28,70,1,1,1.148
