index,ATR_mult,ATR_num,BB_std_dev,BB_window,total_R
296,1.0,20,3.0,56,-8.678
297,2.0,20,3.0,56,-8.319
298,3.0,20,3.0,56,-6.935
299,2.5,20,3.0,56,-7.281
300,1.0,30,1.0,14,-44.133
301,1.5,30,1.0,14,-34.693
302,2.0,30,1.0,14,-24.234
303,3.0,30,1.0,14,-21.988
304,2.5,30,1.0,14,-21.845
305,1.0,30,1.4,14,-31.461
306,2.0,30,1.4,14,-20.435
307,2.5,30,1.4,14,-19.556
308,1.5,30,1.4,14,-26.126
309,3.0,30,1.4,14,-16.456
310,1.0,30,1.8,14,-19.996
311,1.5,30,1.8,14,-17.064
312,2.0,30,1.8,14,-13.009
313,2.5,30,1.8,14,-12.311
314,3.0,30,1.8,14,-7.226
315,1.5,30,2.4,14,-2.738
316,1.0,30,2.4,14,-7.888
317,2.0,30,2.4,14,-0.491
318,2.5,30,2.4,14,-0.334
319,3.0,30,2.4,14,-2.258
320,1.0,30,3.0,14,-2.365
321,1.5,30,3.0,14,-1.576
322,2.0,30,3.0,14,-1.182
323,2.5,30,3.0,14,-1.512
324,3.0,30,3.0,14,-1.26
325,1.0,30,1.0,18,-31.837
326,1.5,30,1.0,18,-27.824
327,2.0,30,1.0,18,-17.909
328,3.0,30,1.0,18,-14.165
329,2.5,30,1.0,18,-14.085
330,1.0,30,1.4,18,-34.915
331,2.0,30,1.4,18,-11.915
332,1.5,30,1.4,18,-20.6
333,3.0,30,1.4,18,-11.707
334,2.5,30,1.4,18,-11.676
335,1.0,30,1.8,18,-27.726
336,2.0,30,1.8,18,-19.358
337,1.5,30,1.8,18,-24.705
338,2.5,30,1.8,18,-18.06
339,3.0,30,1.8,18,-14.34
340,1.0,30,2.4,18,-20.926
341,2.5,30,2.4,18,-7.037
342,1.5,30,2.4,18,-10.867
343,2.0,30,2.4,18,-7.937
344,3.0,30,2.4,18,-6.939
345,1.0,30,3.0,18,-6.758
346,2.0,30,3.0,18,-5.199
347,1.5,30,3.0,18,-5.365
348,2.5,30,3.0,18,-5.052
349,3.0,30,3.0,18,-4.372
