index,ATR_mult,ATR_num,MA,use_SMA,total_R
265,1.5,30,100,1,-13.28
266,3.0,30,100,1,-6.64
267,2.0,30,100,1,-9.96
268,1.0,40,100,1,-18.955
269,0.6,40,100,1,-28.243
270,1.5,40,100,1,-13.148
271,2.0,40,100,1,-9.861
272,3.0,40,100,1,-6.574
273,0.6,50,100,1,-27.933
274,1.0,50,100,1,-18.789
275,1.5,50,100,1,-13.034
276,2.0,50,100,1,-9.775
277,3.0,50,100,1,-6.517
278,0.6,15,120,1,-37.378
279,1.0,15,120,1,-23.908
280,1.5,15,120,1,-16.297
281,2.0,15,120,1,-12.223
282,3.0,15,120,1,-8.148
283,1.0,20,120,1,-24.075
284,0.6,20,120,1,-37.617
285,1.5,20,120,1,-16.411
286,2.0,20,120,1,-12.308
287,3.0,20,120,1,-8.206
288,0.6,30,120,1,-37.663
289,1.0,30,120,1,-24.125
290,1.5,30,120,1,-16.441
291,2.0,30,120,1,-12.33
292,3.0,30,120,1,-8.22
293,1.5,40,120,1,-16.389
294,1.0,40,120,1,-24.056
295,0.6,40,120,1,-37.088
296,2.0,40,120,1,-12.292
297,1.0,50,120,1,-23.986
298,3.0,40,120,1,-8.194
299,0.6,50,120,1,-36.902
300,1.5,50,120,1,-16.311
301,2.0,50,120,1,-12.233
302,3.0,50,120,1,-8.156
303,0.6,15,180,1,-25.422
304,1.0,15,180,1,-17.38
305,1.5,15,180,1,-12.266
306,2.0,15,180,1,-9.199
307,3.0,15,180,1,-6.133
308,1.0,20,180,1,-18.096
309,0.6,20,180,1,-25.516
310,2.0,20,180,1,-9.229
311,1.5,20,180,1,-12.306
312,3.0,20,180,1,-6.153
313,0.6,30,180,1,-25.451
314,1.0,30,180,1,-18.019
315,1.5,30,180,1,-12.254
316,2.0,30,180,1,-9.19
317,3.0,30,180,1,-6.127
318,0.6,40,180,1,-25.275
319,1.5,40,180,1,-12.152
320,1.0,40,180,1,-17.872
321,2.0,40,180,1,-9.114
322,3.0,40,180,1,-6.076
323,1.5,50,180,1,-12.038
324,1.0,50,180,1,-17.742
325,0.6,50,180,1,-25.07
326,2.0,50,180,1,-9.028
327,3.0,50,180,1,-6.019
